,index,name,id,mean_shear,time_before_tcg,mean_shear_hu,time_before_hu,lat,final_inten,mean_shear_max,time_ts_max,mean_shear_cat1,time_ts_cat1,mean_shear_cat1_65,time_ts_cat1_65,E_MPI,distance
131,21,2018_SOULIK,"['wp222018', 'WP_22']",6.484584,24,7.192647999999998,24,15.3,105.0,8.984250256410254,234,6.838615999999999,48,6.838615999999999,48,71.37236983752707,1947.2655291413716
132,22,2018_JEBI,"['wp252018', 'WP_25']",6.609716000000001,24,6.613276666666665,36,15.4,155.0,6.1352730625,192,6.611852399999999,60,6.848535,48,73.84721132930562,2081.5211751279935
133,24,2018_TRAMI,"['wp282018', 'WP_28']",6.092783500000001,24,5.236061666666667,36,15.0,140.0,6.9181206,240,5.5787504000000006,60,5.686486,48,74.0790239994615,1923.8569866547552
134,27,2018_MARIA,"['wp102018', 'WP_10']",3.4329655,24,6.431428333333332,36,11.6,145.0,9.041873875,192,5.232043199999999,60,4.768215499999999,48,73.74367095481058,1501.3859104412509
135,0,2019_WUTIP,"['wp022019', 'WP_02']",9.347105666666666,36,14.434026666666668,36,4.7,145.0,12.374985243243245,222,11.0021544,60,11.95249041860465,258,74.90494150523688,931.9088051501265
136,4,2019_HALONG,"['wp242019', 'WP_24']",7.677915999999998,24,9.333117333333332,36,13.2,165.0,16.547600250000002,192,8.6710368,60,15.56207977777778,216,71.40260805260951,2154.754772842813
137,6,2019_KROSA,"['wp112019', 'WP_11']",9.09576075,48,6.067223000000002,24,17.8,100.0,5.324533333333333,252,8.086248166666666,72,5.92792972,300,59.86519958444633,1845.5740575706523
138,8,2019_FAXAI,"['wp142019', 'WP_14']",6.036811999999999,84,6.829351,84,16.8,115.0,10.92487406060606,198,6.433081499999998,168,6.433081499999998,168,76.96433526876217,2585.1233296945425
139,13,2019_BULBUL:MATMO,"['wp232019', 'WP_23']",5.661307000000001,36,8.351475444444441,216,13.1,105.0,8.796124291666667,288,7.967165666666666,252,7.331513999999999,72,76.24077220420183,271.8709814656759
140,15,2019_KAMMURI,"['wp292019', 'WP_29']",9.588467999999995,24,14.046676999999995,36,11.0,120.0,9.928139948717948,234,12.263393399999998,60,10.652853,36,74.3393769250182,1507.4786466182588
141,18,2019_PHANFONE,"['wp302019', 'WP_30']",10.652598666666668,72,13.315214333333332,36,7.6,105.0,11.4516595,168,11.54013722222222,108,10.651396363636364,132,,1037.8391292958797
142,20,2019_BUALOI,"['wp222019', 'WP_22']",8.232617,48,4.217711000000001,24,10.6,140.0,10.50970246153846,156,6.8943150000000015,72,6.6566405,96,78.2827955812235,1864.3445349239366
143,22,2019_HAGIBIS,"['wp202019', 'WP_20']",3.5368606666666658,36,6.876766,24,15.1,160.0,12.289389548387096,186,4.8728228,60,4.8728228,60,83.3991467844549,2043.69828356564
144,25,2019_LINGLING,"['wp152019', 'WP_15']",3.8922914999999993,72,4.854816,24,16.7,120.0,8.942068272727273,132,4.132922624999999,96,5.579804727272727,132,67.69210173973323,227.76460722474536
145,3,2020_MOLAVE,"['wp212020', 'WP_21']",10.8607705,72,7.975485999999998,24,13.3,105.0,15.02704722222222,108,10.287921,84,11.04565927272727,132,79.18219913328268,190.74371265719316
146,9,2020_VONGFONG,"['wp012020', 'WP_01']",5.94548211111111,108,5.9569695,24,11.3,100.0,9.396754210526314,114,6.068291199999999,120,6.841802647058822,204,65.9495721011729,138.99365830569843
147,18,2020_GONI,"['wp222020', 'WP_22']",3.846021,84,4.2966815,24,16.6,170.0,8.6533788,210,3.9573372499999993,96,3.762317384615384,156,,
148,19,2020_VAMCO,"['wp252020', 'WP_25']",5.3784247500000015,48,3.820950999999999,24,13.3,115.0,5.962628416666665,144,4.859266833333334,72,5.023112,84,78.92004425420087,26.81986245322823
