,index,name,id,mean_shear,time_before_tcg,mean_shear_hu,time_before_hu,lat,final_inten,mean_shear_max,time_ts_max,mean_shear_cat1,time_ts_cat1,mean_shear_cat1_65,time_ts_cat1_65,E_MPI,distance
109,11,2002_HERNAN,"['ep102002', 'EP_10']",9.22528,12,8.352026500000001,24,13.9,140.0,10.218074551724138,174,8.8121155,24,8.823355076923077,156,82.63648324988625,446.69380352965646
110,0,2004_DARBY,"['ep052004', 'EP_05']",9.032241,12,8.827757,24,12.5,105.0,10.44566381818182,132,8.895918333333332,36,8.847595,24,78.19220522517512,1329.0234705901503
111,2,2004_HOWARD,"['ep112004', 'EP_11']",10.824528,12,8.335621999999999,36,13.3,120.0,9.776892666666663,252,8.957848499999999,48,10.5853275,24,,
112,3,2005_KENNETH,"['ep112005', 'EP_11']",8.791896000000001,12,8.812878500000002,24,12.9,115.0,11.818077064516128,372,8.805884333333335,36,11.30426737704918,366,75.85113814770573,1507.407229780171
113,14,2005_JOVA,"['ep102005', 'EP_10']",6.7405705000000005,72,7.285988333333333,36,13.8,110.0,11.44396955,240,6.922376444444445,108,6.96851675,144,69.79018336875284,2035.7521510635695
114,0,2006_DANIEL,"['ep052006', 'EP_05']",7.945729,24,8.749930999999998,36,12.3,130.0,8.817144363636363,264,8.418789,48,8.094768333333333,36,74.9958588122625,1137.9297384708268
115,13,2006_BUD,"['ep032006', 'EP_03']",10.312555,12,10.501779,24,13.5,110.0,11.74018904,150,10.584183,24,9.817283222222224,108,70.88125781260305,961.5957534265565
116,17,2006_ILEANA,"['ep102006', 'EP_10']",10.590287,12,7.5638475,24,12.5,105.0,8.256219133333332,180,8.572660666666666,36,10.590287,12,81.5146550750754,571.8159480085126
117,5,2007_FLOSSIE,"['ep092007', 'EP_09']",7.779395000000001,12,8.384454,36,13.2,120.0,11.6917538,180,8.23318925,48,7.779395000000001,12,65.6413766831595,2206.5891844583575
118,2,2009_FELICIA,"['ep082009', 'EP_08']",8.707202999999998,24,8.395517499999999,24,11.5,125.0,12.871262344827583,174,8.551360249999998,48,12.366527878787878,198,,
119,9,2009_JIMENA,"['ep132009', 'EP_13']",8.622967800000001,60,7.055307999999998,24,13.7,135.0,11.77852216,150,8.351136333333335,72,7.948272333333332,108,76.19329555910244,403.65790073507117
120,13,2009_RICK,"['ep202009', 'EP_20']",9.570156,36,7.707291499999998,24,12.1,155.0,14.697917578947369,114,8.8250102,60,9.318493166666666,72,79.55591090986857,392.9019119591245
121,16,2009_GUILLERMO,"['ep102009', 'EP_10']",6.716209,84,11.820243,36,16.1,110.0,16.773352875,192,7.269117555555557,108,12.087116923076923,156,72.41931632058838,1255.666170699128
122,3,2010_CELIA,"['ep042010', 'EP_04']",10.894978333333333,36,11.569978999999998,36,12.8,140.0,11.70804731818182,264,10.8353626,60,10.8353626,60,79.64798812793083,370.3196958155605
123,3,2011_ADRIAN,"['ep012011', 'EP_01']",10.5662525,24,11.159485,24,11.7,120.0,14.742709076923076,156,10.86286875,48,10.86286875,48,70.288141275391,544.1720744623126
124,4,2011_HILARY,"['ep092011', 'EP_09']",8.712544000000001,12,9.397718,24,13.7,125.0,13.865973166666665,288,9.169326666666668,36,8.712544000000001,12,85.58553511818032,196.43696205226436
125,7,2011_KENNETH,"['ep132011', 'EP_13']",7.7342254,60,9.007825,24,11.5,125.0,12.838557333333334,126,7.879093666666667,72,8.592498666666666,108,82.02259756134012,791.0970527932989
126,1,2012_EMILIA,"['ep052012', 'EP_05']",6.158782999999998,24,7.004187000000002,36,10.3,120.0,10.0029296,240,6.29364325,48,6.0227146666666656,36,77.64511042307059,817.3638060310873
127,8,2012_DANIEL,"['ep042012', 'EP_04']",7.703858,24,8.033092499999999,48,13.8,100.0,10.678031999999998,216,7.923347666666667,72,7.6241245,48,74.68234363696078,761.0053159059587
128,10,2012_MIRIAM,"['ep132012', 'EP_13']",6.11224,12,6.055014999999998,36,13.9,105.0,11.656997333333331,252,6.069321249999999,48,6.415532499999999,24,78.16332358982953,624.4088950659354
129,11,2012_PAUL,"['ep162012', 'EP_16']",7.198751999999999,12,6.466526333333335,36,13.9,105.0,13.152126823529413,102,6.649582750000001,48,7.198751999999999,12,,
130,5,2014_SIMON,"['ep192014', 'EP_19']",9.47077525,48,5.964980999999998,48,17.9,115.0,13.077130074074072,162,8.132228000000001,84,8.132228000000001,84,76.98174993916722,229.70179349688988
131,8,2014_AMANDA,"['ep012014', 'EP_01']",8.015162,36,7.449016,24,10.9,135.0,11.126675999999998,144,7.7887036,60,7.764643666666667,72,72.59989579823407,991.9941932636567
132,9,2014_ISELLE,"['ep092014', 'EP_09']",9.770825,36,13.982584999999998,36,12.8,120.0,11.584593384615385,234,11.466210999999998,60,11.395390727272728,264,73.04811353680435,1777.413895656648
133,12,2014_MARIE,"['ep132014', 'EP_13']",5.589585,12,9.3141695,24,12.6,140.0,10.417849,264,8.072641333333333,36,5.589585,12,82.93094207762604,473.04567208095824
134,13,2014_CRISTINA,"['ep032014', 'EP_03']",9.700120333333333,36,8.055601000000001,24,15.5,130.0,14.7237196,210,9.0423126,60,9.0423126,60,74.18839004300933,251.9358241475572
135,17,2014_ODILE,"['ep152014', 'EP_15']",10.6890955,24,15.740664166666669,72,14.4,120.0,13.663134129032256,186,14.477772,96,12.384863,36,80.6820010407003,335.05020849040125
136,1,2015_DOLORES,"['ep052015', 'EP_05']",9.386273,24,9.08546025,48,12.2,115.0,10.023043024390242,246,9.3562108,60,8.904311333333332,36,80.10886940260662,420.4274696961652
137,3,2015_OLAF,"['ep192015', 'EP_19']",6.37070625,48,10.388346333333333,36,9.4,130.0,13.65708256521739,276,8.092552,84,8.745066875000001,96,72.6925073558662,2322.8485380524644
138,6,2015_ANDRES,"['ep012015', 'EP_01']",9.814316000000002,12,11.508938999999998,36,11.1,125.0,13.787738894736842,228,10.912273,36,13.060594875,192,67.15164905084586,1160.0245029287744
139,10,2015_JIMENA,"['ep132015', 'EP_13']",6.97958025,48,6.723784499999999,24,12.2,135.0,12.647154654545457,330,6.894315,72,7.371735000000001,84,78.83164213480049,1405.504645125441
140,13,2015_SANDRA,"['ep222015', 'EP_22']",8.902531,12,8.984934999999998,36,10.8,130.0,22.383908636363632,132,8.964334,48,9.130667999999998,24,80.52875317759711,762.3959775793229
141,14,2015_PATRICIA,"['ep202015', 'EP_20']",7.453593999999997,24,9.691473,36,13.1,185.0,11.301948,84,9.11674325,48,8.783757333333332,36,,
