,level_0,index,name,id,mean_shear,time_before_tcg,mean_shear_hu,time_before_hu,lat
348,348,8,2015_ATSANI,"['wp172015', 'WP_17']",2.8183690000000006,24,4.820226666666664,36,14.8
352,352,12,2015_DOLPHIN,"['wp072015', 'WP_07']",3.92529125,48,9.18679088888889,108,3.75
354,354,14,2015_SOUDELOR,"['wp132015', 'WP_13']",2.196524,12,5.729595499999999,72,13.625
357,357,17,2015_NOUL,"['wp062015', 'WP_06']",5.454533999999997,24,3.3673475,48,9.52
360,360,20,2015_KROVANH,"['wp202015', 'WP_20']",6.276030666666667,36,3.502271333333334,36,18.1
361,361,21,2015_MELOR,"['wp282015', 'WP_28']",7.1068105,24,5.091600333333333,36,9.95
370,370,4,2016_SARIKA,"['wp242016', 'WP_24']",2.1385359999999984,12,3.014459999999998,24,13.775
381,381,15,2016_MERANTI,"['wp162016', 'WP_16']",3.268030333333332,36,6.880835333333334,36,14.5333
386,386,20,2016_MEGI,"['wp202016', 'WP_20']",6.486491499999998,24,7.1312265,24,16.45
390,390,24,2016_MALAKAS,"['wp182016', 'WP_18']",4.944087,12,6.252059749999999,48,12.92
397,397,6,2017_BANYAN,"['wp142017', 'WP_14']",7.95107,24,5.205287333333334,36,16.9733
429,429,12,2018_YUTU,"['wp312018', 'WP_31']",4.6289679999999995,36,6.4128620000000005,24,9.25
438,438,21,2018_SOULIK,"['wp222018', 'WP_22']",6.484584,24,7.192647999999998,24,15.3077
444,444,27,2018_MARIA,"['wp102018', 'WP_10']",3.4329655,24,6.431428333333332,36,11.575
446,446,0,2019_WUTIP,"['wp022019', 'WP_02']",9.347105666666666,36,14.434026666666668,36,4.7
452,452,6,2019_KROSA,"['wp112019', 'WP_11']",9.09576075,48,6.067223000000002,24,17.8385
461,461,15,2019_KAMMURI,"['wp292019', 'WP_29']",9.588467999999997,24,14.046676999999997,36,11.05
468,468,22,2019_HAGIBIS,"['wp202019', 'WP_20']",3.5368606666666658,36,6.876766,24,15.075
471,471,25,2019_LINGLING,"['wp152019', 'WP_15']",3.8922914999999993,72,4.854816,24,16.78
483,483,9,2020_VONGFONG,"['wp012020', 'WP_01']",5.94548211111111,108,5.9569695,24,11.275
493,493,19,2020_VAMCO,"['wp252020', 'WP_25']",5.3784247500000015,48,3.820950999999999,24,13.35
508,11,11,2000_CARLOTTA,"['ep032000', 'EP_03']",7.912665666666666,36,8.502973333333335,36,12.92
509,12,12,2000_DANIEL,"['ep062000', 'EP_06']",9.04216,36,8.781595500000002,24,10.9
517,20,3,2001_JULIETTE,"['ep112001', 'EP_11']",5.223344999999998,12,5.32844825,48,13.0
519,22,5,2001_ADOLPH,"['ep012001', 'EP_01']",7.7584125,24,4.553431000000002,24,13.6
532,35,3,2002_KENNA,"['ep142002', 'EP_14']",4.949428000000001,12,5.7452369999999995,36,11.5
533,36,4,2002_ALMA,"['ep012002', 'EP_01']",6.59731725,48,6.2036474,60,10.7
537,40,8,2002_ELIDA,"['ep062002', 'EP_06']",4.715187,12,10.173688999999998,24,11.9
557,60,0,2004_DARBY,"['ep052004', 'EP_05']",8.204386,12,9.0715355,24,12.5
572,75,3,2005_KENNETH,"['ep112005', 'EP_11']",8.968912,12,7.329225000000001,24,12.9
583,86,14,2005_JOVA,"['ep102005', 'EP_10']",6.060610333333332,72,7.587881999999998,36,13.8
584,87,0,2006_DANIEL,"['ep052006', 'EP_05']",5.3454250000000005,24,1.6886203333333327,36,12.3
587,90,3,2006_JOHN,"['ep112006', 'EP_11']",3.6225710000000007,12,2.9110734999999988,24,13.1
607,110,5,2007_FLOSSIE,"['ep092007', 'EP_09']",5.717005999999998,12,10.622078666666667,36,13.2
638,141,9,2009_JIMENA,"['ep132009', 'EP_13']",7.868971200000002,60,3.145695999999999,24,13.7
645,148,16,2009_GUILLERMO,"['ep102009', 'EP_10']",7.015087000000001,84,7.984387666666666,36,16.1
654,157,1,2011_EUGENE,"['ep052011', 'EP_05']",9.1966675,24,14.753723666666668,36,10.6
656,159,3,2011_ADRIAN,"['ep012011', 'EP_01']",4.282184499999998,24,4.4179984999999995,24,11.7
657,160,4,2011_HILARY,"['ep092011', 'EP_09']",4.9906299999999995,12,3.1613375,24,13.7
658,161,5,2011_DORA,"['ep042011', 'EP_04']",8.588937999999999,12,7.449016,36,10.4
663,166,10,2011_JOVA,"['ep102011', 'EP_10']",10.096625999999999,36,4.777180749999999,48,12.1
664,167,0,2012_BUD,"['ep022012', 'EP_02']",8.927964333333334,36,7.326173,48,9.7
665,168,1,2012_EMILIA,"['ep052012', 'EP_05']",4.202069499999999,24,6.336053333333332,36,10.3
673,176,10,2012_MIRIAM,"['ep132012', 'EP_13']",5.462163999999998,12,7.6748639999999995,36,13.9
700,203,5,2014_SIMON,"['ep192014', 'EP_19']",7.786071250000001,48,6.747437499999998,48,17.9
701,204,8,2014_AMANDA,"['ep012014', 'EP_01']",2.805652333333333,36,0.6487784999999988,24,10.9
702,205,9,2014_ISELLE,"['ep092014', 'EP_09']",4.343097333333334,36,7.0817586666666665,36,12.8
704,207,11,2014_GENEVIEVE,"['ep072014', 'EP_07']",8.258559,60,8.98343952,300,12.1778
710,213,17,2014_ODILE,"['ep152014', 'EP_15']",7.566518,24,6.334908833333334,72,14.4
711,214,18,2014_JULIO,"['ep102014', 'EP_10']",9.0584882,60,11.3414605,48,13.5
716,219,3,2015_OLAF,"['ep192015', 'EP_19']",4.603598249999999,48,5.147299333333333,36,9.4
719,222,6,2015_ANDRES,"['ep012015', 'EP_01']",7.896896999999999,12,4.326819999999999,36,11.1
723,226,10,2015_JIMENA,"['ep132015', 'EP_13']",6.6627445,48,4.1425554999999985,24,12.2
729,232,16,2015_LINDA,"['ep152015', 'EP_15']",7.713204750000001,48,8.9761605,24,13.2
733,236,1,2016_DARBY,"['ep052016', 'EP_05']",7.535235,24,10.206243666666666,36,15.9
742,245,11,2016_LESTER,"['ep132016', 'EP_13']",6.621161000000001,24,2.1473105000000006,48,16.0
744,247,13,2016_BLAS,"['ep032016', 'EP_03']",10.953475000000001,12,9.655866333333332,36,11.4
752,255,1,2017_EUGENE,"['ep052017', 'EP_05']",2.7168899999999994,12,3.332122333333333,36,11.6
763,266,12,2017_FERNANDA,"['ep062017', 'EP_06']",7.780158,24,6.501369999999998,24,11.9
769,272,0,2018_ALETTA,"['ep022018', 'EP_02']",7.492507,12,6.311128666666666,36,14.2
775,278,7,2018_OLIVIA,"['ep172018', 'EP_17']",6.374712000000001,24,9.367579500000002,48,15.4
780,283,12,2018_NORMAN,"['ep162018', 'EP_16']",6.751633999999999,24,7.127411500000001,24,17.2
